# Weather station Moscow, Russia, WMO_ID=27612,selection from 05.01.2018 till 05.01.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=27612&lang=en
#
"Local time in Moscow";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.01.2019 15:00";"-5.4";"743.5";"758.5";"0.0";"85";"Wind blowing from the north-east";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"-7.6";"";"";"";"";"";"";
"05.01.2019 12:00";"-4.7";"743.5";"758.5";"0.0";"85";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"-6.8";"";"";"";"";"";"";
"05.01.2019 09:00";"-5.0";"743.5";"758.6";"0.0";"93";"Wind blowing from the east";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-5.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"4.0";"-5.9";"0.2";"12";"";"";"Even layer of loose dry snow covering ground completely.";"38.0";
"05.01.2019 06:00";"-4.8";"743.5";"758.6";"-0.9";"96";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-5.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-5.4";"0.2";"12";"";"";"";"";
"05.01.2019 03:00";"-4.9";"744.4";"759.4";"-0.3";"94";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-5.7";"";"";"";"";"";"";
"05.01.2019 00:00";"-4.3";"744.7";"759.7";"-0.3";"94";"Calm, no wind";"0";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-5.2";"";"";"";"";"";"";
"04.01.2019 21:00";"-4.5";"745.0";"760.1";"-0.1";"92";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-3.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-5.6";"0.6";"12";"";"";"";"";
"04.01.2019 18:00";"-4.4";"745.1";"760.2";"0.2";"85";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-6.5";"0.6";"12";"";"";"";"";
"04.01.2019 15:00";"-4.0";"744.9";"759.9";"-0.1";"87";"Wind blowing from the west";"1";"";"";"100%.";"Mist. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"-5.8";"";"";"";"";"";"";
"04.01.2019 12:00";"-3.7";"745.0";"760.0";"0.3";"88";"Wind blowing from the north-northwest";"1";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"-5.4";"";"";"";"";"";"";
