Year	January	February	March	April	May	June	July	August	September	October	November	December	Sum
1820	-999	-999	-999	-999	50	99	48	54	25	84	26	45	-999
1821	29	36	71	27	140	40	57	-999	-999	-999	-999	-999	-999
1822	37	37	54	31	38	59	89	61	102	28	28	38	601
1823	122	28	26	58	66	55	44	81	55	79	55	55	724
1824	60	35	31	60	111	139	159	55	27	53	27	52	809
1825	32	31	60	34	33	52	191	54	54	79	89	55	765
1826	35	54	53	52	33	26	53	52	58	58	52	54	580
1827	52	28	70	92	110	66	41	66	31	46	47	47	693
1828	47	37	47	47	49	47	161	52	88	52	35	-999	-999
1829	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1830	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1831	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1832	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1833	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1834	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1835	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1836	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1837	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1838	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1839	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1840	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1841	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1842	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1843	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1844	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1845	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1846	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1847	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1848	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1849	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1850	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1851	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1852	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1853	-999	-999	-999	-999	76	26	85	57	90	66	10	24	-999
1854	18	21	23	44	15	36	46	10	90	25	64	49	440
1855	38	49	25	35	46	67	45	57	27	40	23	23	475
1856	40	55	26	14	50	17	52	92	68	62	51	53	579
1857	22	8	0.4	37	39	65	118	35	21	36	14	31	426
1858	18	7	26	55	70	51	83	17	40	32	2	3	403
1859	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
1860	63	50	29	8	39	29	40	49	43	46	26	50	471
1861	37	14	27	32	72	23	23	100	74	15	79	45	542
1862	12	6	38	92	64	48	136	38	11	29	13	37	522
1863	16	22	27	6	55	49	74	115	16	5	67	31	484
1864	44	15	44	51	49	47	68	32	42	53	31	19	495
1865	31	14	17	14	40	80	36	99	80	17	20	35	483
1866	33	23	41	48	34	54	75	52	17	36	48	42	503
1867	73	53	45	30	68	38	107	68	98	42	45	35	700
1868	21	26	12	22	36	22	36	15	68	13	31	47	349
1869	24	38	45	30	77	81	102	60	41	30	98	21	647
1870	27	23	10	11	42	57	48	116	58	58	92	49	591
1871	36	14	23	56	44	29	52	36	107	70	39	74	580
1872	42	14	14	56	56	29	138	126	91	8	41	32	649
1873	42	26	11	29	58	51	95	75	32	62	42	49	570
1874	30	21	21	43	72	60	50	99	44	32	34	115	618
1875	42	11	18	24	67	49	72	66	67	55	75	29	572
1876	31	37	59	30	47	58	60	137	87	39	36	38	658
1877	12	22	54	84	96	31	43	87	100	19	16	42	606
1878	48	29	56	38	55	35	142	32	32	25	45	76	612
1879	22	60	12	36	34	80	87	64	23	73	57	18	567
1880	16	4	22	38	35	100	43	102	39	54	48	75	576
1881	23	24	33	20	14	81	44	120	15	20	29	20	443
1882	12	17	47	40	42	80	48	48	5	10	52	36	437
1883	7	17	50	22	30	77	164	49	27	25	27	36	531
1884	29	17	7	49	86	87	109	63	39	36	19	33	574
1885	6	24	24	27	37	51	17	97	203	39	19	28	572
1886	34	2	20	14	49	59	50	118	50	11	46	26	479
1887	18	11	29	28	19	49	78	102	21	51	22	89	517
1888	22	16	14	79	63	31	66	99	8	96	15	11	520
1889	20	36	42	62	15	58	79	80	88	37	45	14	576
1890	37	11	27	20	45	53	26	106	44	41	40	23	473
1891	13	11	87	29	27	42	25	103	73	28	40	48	526
1892	38	31	36	39	41	24	85	32	13	72	26	60	497
1893	37	25	63	18	17	53	108	87	78	37	98	28	649
1894	17	52	27	5	101	115	122	100	84	67	23	38	751
1895	72	38	51	23	9	60	68	35	66	67	51	21	561
1896	24	40	31	32	78	47	61	91	71	13	43	50	581
1897	47	29	25	34	20	21	34	26	61	52	40	16	405
1898	38	56	38	20	65	51	98	16	93	54	45	60	634
1899	49	40	41	59	20	67	23	109	103	93	41	30	675
1900	43	28	20	30	54	75	73	19	78	102	34	56	612
1901	44	37	18	37	68	51	62	32	27	72	51	60	559
