Year	January	February	March	April	May	June	July	August	September	October	November	December	Mean
1779	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	-2.1	-5.2	999.9
1780	-16.7	-12.0	-1.0	6.7	12.3	15.0	19.7	14.1	7.5	4.4	-1.9	-10.8	3.1
1781	-12.5	-14.9	-5.0	1.8	10.9	14.4	17.6	18.4	11.9	3.3	2.6	-11.2	3.1
1782	-9.5	-16.6	-2.7	2.9	11.8	15.0	17.5	16.5	11.3	6.2	-0.4	-13.1	3.2
1783	-19.0	-7.0	-5.3	4.4	15.8	19.6	16.5	17.7	999.9	999.9	999.9	999.9	999.9
1784	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1785	999.9	999.9	999.9	999.9	10.1	16.1	18.3	17.3	9.1	0.6	-0.7	-11.3	999.9
1786	-10.9	-11.8	-6.9	6.5	11.1	15.6	19.9	19.1	13.9	2.5	-7.3	-10.3	3.5
1787	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1788	-13.1	-8.1	-6.9	2.8	9.7	16.9	21.8	16.6	10.9	2.9	-3.6	-20.2	2.5
1789	-9.7	-10.0	-12.0	2.2	14.0	15.9	21.0	17.2	11.5	2.6	-1.5	-4.0	3.9
1790	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1791	-7.8	-4.0	-4.6	6.0	11.0	17.9	17.5	16.2	10.0	3.4	-2.0	-2.9	5.1
1792	-16.0	-8.6	-5.5	3.2	12.3	17.7	20.4	15.8	15.1	2.0	-2.8	-5.3	4.0
1793	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1794	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1795	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1796	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1797	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1798	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1799	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1800	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1801	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1802	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1803	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1804	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1805	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1806	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1807	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1808	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1809	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1810	999.9	-7.6	-4.4	0.8	10.2	15.5	19.1	18.3	10.7	2.9	-4.8	-6.1	999.9
1811	-15.2	-10.9	-2.8	-0.9	12.9	20.2	18.0	19.5	8.9	-0.8	-3.2	-3.5	3.5
1812	-8.9	-11.3	-7.5	1.4	10.2	16.6	20.6	21.1	999.9	999.9	999.9	999.9	999.9
1813	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1814	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1815	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1816	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1817	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1818	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1819	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9	999.9
1820	999.9	999.9	999.9	999.9	999.9	17.3	18.0	16.7	12.7	6.3	-4.9	-12.3	999.9
1821	-6.0	-8.4	-5.1	4.6	15.2	15.1	17.9	15.0	9.0	4.2	-0.2	-2.8	4.9
1822	-4.7	-3.2	0.4	8.7	10.3	12.9	18.9	17.0	12.2	5.9	-1.4	-6.6	5.9
1823	-16.1	-11.7	-1.6	2.9	11.5	20.4	21.4	19.3	11.3	5.9	-4.5	-2.8	4.7
1824	-7.6	-7.1	-0.4	5.0	11.4	14.1	17.6	17.5	15.0	5.2	0.8	-1.4	5.8
